volume peso recompensa duração(s) express
3 19 754 984 0
16 13 1121 641 0
25 28 1370 535 0
6 26 1991 318 0
170 26 1590 728 0
19 28 946 1021 0
19 16 1967 865 0
16 13 367 703 0
3 19 585 827 0
13 29 1511 325 0
23 16 868 608 0
25 13 1251 384 0
26 22 1628 925 0
20 13 1542 128 0
9 9 1137 1019 0
6 26 1291 1035 0
199 23 1410 1028 0
3 19 1432 1051 0
22 16 982 229 0
3 20 1645 316 0
13 3 621 723 0
10 3 1886 632 0
26 16 403 402 0
3 16 501 692 0
3 13 1907 307 0
100 16 1918 1042 0
25 28 724 816 0
6 6 564 1017 0
13 26 396 664 0
